id,sku,skuRemake,skuNumeric,gender,msrp
599,BT04603-Tan,"BT04603,Tan",04603,MEN,
1187,C11508-Black,"C11508,Black",11508,MEN,
1188,C11508-Brown,"C11508,Brown",11508,MEN,
1268,C18201-Tan,"C18201,Tan",18201,MEN,
1329,C45504-Brown,"C45504,Brown",45504,MEN,
1002,C56601-Black,"C56601,Black",56601,MEN,
469,C57201-Black,"C57201,Black",57201,MEN,
432,C57502-Black,"C57502,Black",57502,MEN,
413,C57601-Black,"C57601,Black",57601,MEN,
403,C57602-Black,"C57602,Black",57602,MEN,
512,C57603-Black,"C57603,Black",57603,MEN,
1509,C64602-Black,"C64602,Black",64602,MEN,
1006,C92451-Maroon/Black,"C92451,Maroon/Black",92451,MEN,
1778,C92452-Maroon/Black,"C92452,Maroon/Black",92452,MEN,
1787,C92518-Black/Brown,"C92518,Black/Brown",92518,MEN,
1891,C95501-Black,"C95501,Black",95501,MEN,
1918,C98204-Maroon,"C98204,Maroon",98204,MEN,
1063,CO11885-Black,"CO11885,Black",11885,MEN,
1585,CT75206-Black,"CT75206,Black",75206,MEN,
1586,CT75206-Brown,"CT75206,Brown",75206,MEN,
1661,D86616-Black,"D86616,Black",86616,MEN,
243,DN09101-White,"DN09101,White",09101,MEN,
91,DN57101-Black,"DN57101,Black",57101,MEN,
627,DN57102-Black,"DN57102,Black",57102,MEN,
92,DN57102-Brown,"DN57102,Brown",57102,MEN,
266,DN57102-Coffee,"DN57102,Coffee",57102,MEN,
93,DN57103-Tan,"DN57103,Tan",57103,MEN,
94,DN57104-Black,"DN57104,Black",57104,MEN,
267,DN57104-Coffee,"DN57104,Coffee",57104,MEN,
362,DN57105-Black,"DN57105,Black",57105,MEN,
95,DN57105-Brown,"DN57105,Brown",57105,MEN,
1021,DN57105-Camel,"DN57105,Camel",57105,MEN,
250,DN57105-Coffee,"DN57105,Coffee",57105,MEN,
99,DN57201-Black,"DN57201,Black",57201,MEN,
100,DN57301-Tan,"DN57301,Tan",57301,MEN,
165,DN57501-Black,"DN57501,Black",57501,MEN,
338,DN57501-Camel,"DN57501,Camel",57501,MEN,
166,DN57502-Brown,"DN57502,Brown",57502,MEN,
96,DN57601-Black,"DN57601,Black",57601,MEN,
576,DN57602-Black,"DN57602,Black",57602,MEN,
970,DN57602-Brown,"DN57602,Brown",57602,MEN,
110,DN57602-Camel,"DN57602,Camel",57602,MEN,
950,DN57602-Coffee,"DN57602,Coffee",57602,MEN,
97,DN57602-Tan,"DN57602,Tan",57602,MEN,
251,DN57603-Black,"DN57603,Black",57603,MEN,
98,DN57603-Brown,"DN57603,Brown",57603,MEN,
949,DN57603-Camel,"DN57603,Camel",57603,MEN,
252,DN57603-Coffee,"DN57603,Coffee",57603,MEN,
